names,brand,price,links,descriptions
Zapatilla Mujer Reebok Classic Leather SP   Blanco,ADIDAS,90.00,https://www.murallasport.com/producto/5477-zapatilla-mujer-reebok-classic-leather-sp-blanco,Disfruta de todos los detalles originales que te gustan cuando te pongas esta Classic Leather para mujer. La mediasuela doble añade un extra de altura y actitud retro. El logo icónico de la bandera Union Jack ha sido directamente extraído de nuestros archivos.
Zapatilla Nike Zoom Air Fire   Blanco,NIKE,119.99,https://www.murallasport.com/producto/5998-zapatilla-nike-zoom-air-fire-blanco,Zapatilla Nike Zoom Air Fire   Blanco
New Balance 530,NEW BALANCE,110.00,https://www.murallasport.com/producto/6229-new-balance-530,La 530 es un regreso a uno de los estilos de calzado de correr clásicos. Informal combina un estilo cotidiano con la tecnología moderna. La amortiguación ABZORB debajo del pie le ofrece una comodidad superior. Dale un giro retro a tu look con las zapatillas 530.
Zapatillla  New Balance CT302   Beige,NEW BALANCE,110.00,https://www.murallasport.com/producto/5330-zapatillla-new-balance-ct302-beige,"Diseñadas para los amantes de la moda, nuestras CT302 fusionan un perfil bajo de inspiración tenis con una suela robusta muy en tendencia para conformar una silueta muy actual que será el blanco de todas las miradas. Estas zapatillas de estilo casual presentan un empeine de malla y ante que combina con todo y las hace muy resistentes.Empeine de ante y malla para disfrutar de confort y estilo Cierre con cordón regulable para un ajuste personalizado El diseño tradicional del perfil presenta notas muy actuales en línea con las últimas tendencias Tip wrap inspired by ProCourt design Miniature text branding at midsole"
Zapatilla Mujer New Balance 327   Beige,NEW BALANCE,114.00,https://www.murallasport.com/producto/5473-zapatilla-mujer-new-balance-327-beige,"Entresuela ensanchada Empeine de ante y malla con un diseño de colores exagerado inspirado en los modelos 320, 355 y Supercomp Marca N de gran tamaño Marca con el texto “New Balance” lineal media Suela en relieve inspirada en la zapatilla de trail 355 Talón de goma inspirado en los modelos 320, 355 y Supercomp Pala de nailon de inspiración retro Ojales partidos"
New Balance 327,NEW BALANCE,120.00,https://www.murallasport.com/producto/5948-new-balance-327,"Entresuela ensanchada Empeine de material sintético con un diseño de colmillo sobredimensionado inspirado en los modelos 320, 355 y Supercomp Marca N de gran tamaño Marca con el texto “New Balance” lineal media Suela en relieve inspirada en la zapatilla de trail 355 Talón de goma inspirado en los modelos 320, 355 y Supercomp Pala de nailon de inspiración retro Ojales partidos"
New Balance 327,NEW BALANCE,120.00,https://www.murallasport.com/producto/5949-new-balance-327,"Entresuela ensanchada Empeine de material sintético con un diseño de colmillo sobredimensionado inspirado en los modelos 320, 355 y Supercomp Marca N de gran tamaño Marca con el texto “New Balance” lineal media Suela en relieve inspirada en la zapatilla de trail 355 Talón de goma inspirado en los modelos 320, 355 y Supercomp Pala de nailon de inspiración retro Ojales partidos"
New Balance 610,NEW BALANCE,120.00,https://www.murallasport.com/producto/6045-new-balance-610,"Si estás compitiendo contra el terreno, o en un día particularmente difícil, la 610T es tu mejor opción. El diseño inspirado en el trail de los años 2000 de estas zapatillas para hombre ofrece versatilidad y comodidad.La amortiguación C-CAP de la entresuela ofrece una sujeción duradera Empeine de malla y sintético Diseño inspirado en las carreras de trail de los 2000 Cierre con cordones para un ajuste seguro"
Zapatilla  Converse All Star Lift High Water-Re...,CONVERSE,79.95,https://www.murallasport.com/producto/5584-zapatilla-converse-all-star-lift-high-water-repellent,"Sigue derrochando estilo aunque llueva con las Chuck Taylor de la marca Converse de plataforma, hechas con lona repelente al agua y revestimientos resistentes"
Zapatilla  Converse All Star Hi Water-Repellent...,CONVERSE,80.00,https://www.murallasport.com/producto/5853-zapatilla-converse-all-star-hi-water-repellent-beige,Zapato alto con parte superior de lona repelente al agua Amortiguación OrthoLite para comodidad durante todo el día. Forro de malla para transpirabilidad. Capas superpuestas sintéticas mate para una apariencia de bloques de colores Parche de tobillo icónico de Chuck Taylor
Zapatilla Converse Lift Hi Suede,CONVERSE,84.95,https://www.murallasport.com/producto/5578-zapatilla-converse-lift-hi-suede,Adios al frío con estas Converse All Star Chock Taylor. Unas zapatillas de serraje forradas en su interior para mantener el calor en los días más fríos. Serán tus aliadas este invierno y no querrás sacartelas de los pies.
Zapatilla  Converse CTAS Lugged 2.0 Hi   Gris,CONVERSE,85.00,https://www.murallasport.com/producto/5586-zapatilla-converse-ctas-lugged-2-0-hi-gris,Bota deportiva de caña alta con parte superior de lona de algodón Amortiguación OrthoLite para comodidad durante todo el día. Un forro de malla para transpirabilidad. Suela exterior de goma rugosa con banda de rodadura inspirada en chevron para una tracción mejorada Parche de tobillo icónico de Chuck Taylor
Zapatilla  Converse Chuck Taylor  Lift Hi  Marrón,CONVERSE,90.00,https://www.murallasport.com/producto/5608-zapatilla-converse-chuck-taylor-lift-hi-marron,Zapatilla de plataforma alta con parte superior de lona de algodón. La amortiguación de EVA brinda comodidad durante todo el día Nuevos colores de Converse para refrescar tu rotación Una suela de plataforma sube la altura Parche de tobillo icónico de Chuck Taylor
Zapatilla Mujer Converse Move Plat Stripe Knit ...,CONVERSE,95.00,https://www.murallasport.com/producto/5455-zapatilla-mujer-converse-move-plat-stripe-knit-gris,Las nuevas Chuck Taylor All Star Move te dan más altura y personalidad. Una plataforma llamativa y explosiva sin tanto peso que te da un toque estiloso.
Zapatilla Converse Chuck Taylor All Star Lift P...,CONVERSE,95.00,https://www.murallasport.com/producto/5587-zapatilla-converse-chuck-taylor-all-star-lift-platform-suede,"Zapatilla de plataforma alta, con parte superior de ante y detalles de cuero en la lengüeta y el talón Amortiguación OrthoLite para comodidad durante todo el día. Un suave forro polar te ayuda a mantenerte cómodo. Los cordones tonales unen el look. Parche de piel sintética en el tobillo para un look elevado"
Zapatilla Converse Run Star Hike Hi  Gris,CONVERSE,110.00,https://www.murallasport.com/producto/5387-zapatilla-converse-run-star-hike-hi-gris,"Con las Run Star Hike, el diseño informal de las legendarias Chuck Taylor All Star se renueva con un estilo elevado. La parte superior de lona se combina con el clásico parche de estrella en el tobillo. Cuentan con su característica suela exterior dentada con plataforma para captar todas las miradas allá donde vayas."
Zapatilla  Converse Run Star Hike Hi  Marrón,CONVERSE,110.00,https://www.murallasport.com/producto/5388-zapatilla-converse-run-star-hike-hi-marron,"Con las Run Star Hike, el diseño informal de las legendarias Chuck Taylor All Star se renueva con un estilo elevado. La parte superior de lona se combina con el clásico parche de estrella en el tobillo. Cuentan con su característica suela exterior dentada con plataforma para captar todas las miradas allá donde vayas."
Zapatilla Converse Lugged 2.0 Caunter Climate  ...,CONVERSE,120.00,https://www.murallasport.com/producto/5927-zapatilla-converse-lugged-2-0-caunter-climate-rosa,"Bota alta, con parte superior de lona de algodón y botín interior impermeable Amortiguación OrthoLite para comodidad durante todo el día. Un suave forro polar te ayuda a mantenerte cómodo. La suela de tracción Max Grind ayuda a combatir las superficies resbaladizas Cordones envolventes de poliéster, con parche de goma, ojales, paredes laterales y puntera Otros colores"
Zapatilla Vans Old Skool,VANS,64.00,https://www.murallasport.com/producto/5556-zapatilla-vans-old-skool,"Las inconfundibles zapatillas de la marca que cuentan con la banda lateral. Son unas zapatillas bajas con cordones, forro, cuello acolchado para una mayor sujeción y flexibilidad, una puntera reforzada que resiste el desgaste y la distintiva suela wafflepara un agarre más firme."
Vans Old Skool Platform   Blanco,VANS,85.00,https://www.murallasport.com/producto/6047-vans-old-skool-platform-blanco,Cierre cordones
